Year,Title,Abstract,Authors,Affiliations,URL
2013,Diagrammatic Cognition: Discovery and Design,"External representations of thought—maps, diagrams, sketches, and the like—are ancient inventions that serve thought and communication in numerous ways. A number of cognitive scientists have investigated roles these representations play in cognition (see, e.g., Donald, 1991; Larkin & Simon, 1987; Norman, 1993; Schön, 1983). They are created and used by school students, by architects and designers, by mathematicians and scientists, by musicians, dancers, and artists. People design and use diagrams to spatialize thought and make it public, to work through ideas and clarify thinking, to reduce working memory load, to communicate ideas to others, to promote collaborative work by providing an external representation that can be pointed to and animated by gestures and collectively revised. Considerable research has shown that well-designed diagrams promote thought, creativity, discovery, and communication. Diagrams can map abstract thought to space, allowing spatial reasoning to promote abstract reasoning.",>William Bechtel,>UCSD,https://mindmodeling.org/cogsci2013/papers/0001/index.html
2013,Using Mechanical Turk and PsiTurk for Dynamic Web Experiments,"This half-day workshop will demonstrate how to build custom web-based experiments that rely on participants from Amazon Mechanical Turk (AMT). Attendees will learn how to deploy web-based experiments using PsiTurk, a Python-based platform that simplifies the process of setting up experiments and interacting with AMT. No prior knowledge about AMT is necessary, but participants are encouraged to download and set up the PsiTurk platform before attending the workshop if they would like to follow along during the demonstration. The workshop will also discuss the benefits and drawbacks of running experiments online and address concerns about the quality of data obtained via AMT or other web-based services.",>Anna Coenen>Doug Markant>Jay B. Martin>John McDonnell,>NYU>NYU>NYU>NYU,https://mindmodeling.org/cogsci2013/papers/0002/index.html
2013,"Embodied Approaches to Interpersonal Coordination: Infants, Adults, Robots, and Agents","Interpersonal interaction, especially in face-to-face circumstances, requires coordination (Clark, 1996). This involves many subtle behaviors, controlled carefully in the context of another person, from eye movements and gestures, to choice of words and beyond. Several new directions have pursued this microstructure of interpersonal interaction. First, with advances in sensing and computing techniques, we have the capability to process visual, audio and other sensory data collected from real-world interactions. Second, researchers in developmental robotics have investigated mechanisms of interpersonal coordination, to model and implement social systems. Third, research on virtual agents has developed new models of embodied human-agent interaction. Together these strands of research offer new insight into human social dynamics, and the means to implement and test theories in robotics and virtual agents. Bringing them together in one workshop is an opportunity to convey these new methods, and find shared interests and synergies among different approaches and different fields.",>Rick Dale>Chen Yu>Yukie Nagai>Moreno Coco>Stefan Kopp,">University of California, Merced>Indiana University>Osaka University>University of Edinburgh>Universität Bielefeld",https://mindmodeling.org/cogsci2013/papers/0003/index.html
2013,Interactive Panel Discussion: Professional advancement through real and virtual international collaboration,"The goal of Women in Cognitive Science (WICS) is to increase attention to the situation of women cognitive scientists, to better understand the reasons for existing problems of under representation in key positions, and to provide a forum for professional development that encourages both junior and senior male and female scientists to consider the ways in which they might work with their own home institutions to effect change. The CSS 2013 interactive panel discussion will bring together American and European researchers in Cognitive Science to discuss national and international collaborations as a tool toward professional advancement and visibility and why this is important to one's career development. Invited speakers include R. Harald Baayen (Eberhard Karls University, Tübingen), Melody Dye (Indiana University, Bloomington), Pernille Hemmer (Rutgers University), Lael Schooler (Max Planck Institute for Human Development, Berlin), Anne Warlaumont, (University, of California, Merced). Speakers will describe and contrast varied ways to initiate and goals for international and virtual collaborations. *Laurie Feldman will serve as moderator.",>Laurie Beth Feldman>Janet van Hell>Judith Kroll>Suparna Rajaram>Natasha Tokowicz,">University at Albany, SUNY>Pennsylvania State University>Pennsylvania State University>Stony Brook University>University of Pittsburgh",https://mindmodeling.org/cogsci2013/papers/0004/index.html
2013,Workshop Proposal: PRE-CogSci 2013: Bridging the gap between cognitive and computational approaches to reference,"Reference is a key mechanism in human communication which has long been studied in different areas of Cognitive Science. The PRE-CogSci 2013 workshop, which focusses on the production/generation of referring expressions, follows in the footsteps of two earlier CogSci workshops in seeking to forge closer links between the approaches that are associated with the different disciplines, with special attention to psycholinguistics and computational linguistics. Peer-reviewed contributions on all aspects of the production/generation of referring expressions are solicited. Special themes of the workshop will include: (1) Collaborative reference, (2) Nondeterminism in production, (3) Interaction between comprehension and production, and (4) Combinations with research in vision. There will be invited presentations by Herb Clark and by Noah Goodman.",>Albert Gatt>Roger van Gompel>Ellen Gurman Bard>Emiel Krahmer>Kees van Deemter,>University of Malta>University of Dundee>University of Edinburgh>Tilburg University>University of Aberdeen,https://mindmodeling.org/cogsci2013/papers/0005/index.html
2013,Motivations and Goals in Developing Integrative Models of Human Cognition,"There has been tremendous growth recently in theories that attempt to provide more comprehensive accounts of the foundational mechanisms of human cognition. Such theories have taken a variety of forms, and have focused on different levels of analysis. The diversity is important and necessary, but can serve as a barrier to interaction, comparison, and integration, even at venues like the Annual Meeting of the Cognitive Science Society that should foster such dialogue. This workshop is intended to bring together individuals working on integrative models of human cognition, to emphasize shared motivations and goals. Ultimately, building scientific communities that bridge levels of analysis, methodologies, and theoretical approaches to work toward more comprehensive theories will be critical to the addressing the central goal of the Cognitive Science Society – understanding the nature of the human mind.",>Glenn Gunzelmann,>Air Force Research Laboratory,https://mindmodeling.org/cogsci2013/papers/0006/index.html
2013,Deception as a Social Strategy,"Deception can be advantageous to a deceiver when the truth conflicts with his or her goals - be they personal or social, selfless or selfish. Thus it is that people regularly use deception to avoid conflict with others, to avoid punishment or embarrassment, to fit into a group, to harm, protect or help others, and for material or non-material benefit to themselves. While there are many ways in which people can deceive, for example, by choosing to fabricate rather than to tell a half-truth, there are always cost-benefit trade-offs, regardless of the strategy a person chooses. Understanding why people deceive in everyday life situations, how they do it, why they choose one strategy over another, and why sometimes they might choose not to deceive at all, even in the absence of any serious anticipated cost, will enable us to build richer models of socially intelligent behavior--models that could be employed in computational systems designed to facilitate enterprises such as elder care, tutoring, and professional training. In this workshop, we aim to address three basic questions: (1) what factors lead people to deceive? (2) what makes them decide to deceive one way rather than another? and (3) how can we model these factors computationally?",>Swati Gupta>Tei Laine>Kayo Sakamoto,">Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore>Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore>Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore",https://mindmodeling.org/cogsci2013/papers/0007/index.html
2013,Mental Model Ascription by Language-Enabled Intelligent Agents,This is a workshop proposal.,>Marjorie McShane,>University of Maryland Baltimore County,https://mindmodeling.org/cogsci2013/papers/0008/index.html
2013,When eye see you: Gaze and joint attention in human interaction,"Gaze behavior provides fundamental mechanisms for sharing mental states such as goals and desires and helps to ground communicative content. Responding to or leading someone's gaze to a location or an object of interest thus may result in a situation of joint attention -- a referential triad between two individuals and an entity in the environment. Since people often look at what they attend to and where they intend to act, joint attention is considered fundamental to an understanding of other minds and the interaction with them. This workshop aims to explore how traditionally separate research areas such as social cognition/neuroscience, psycholinguistics, human-computer interaction and developmental psychology contribute to an understanding of the general phenomenon of gaze-following and joint attention from different perspectives -- and how these fields can benefit and learn from each other, e.g. by comparing different approaches and methodologies.",>Maria Staudte>Ulrich Pfeiffer,>Saarland University>University Hospital Cologne,https://mindmodeling.org/cogsci2013/papers/0009/index.html
2013,Using Complex Network Analysis in the Cognitive Sciences,The general format of the tutorial will be a half-day introduction to research in the field of complex network analysis followed by a more detailed study of a specific research project on language acquisition. In the course of the more detailed study participants will have an opportunity to perform some statistical and hypothesis testing on networks while learning interpretations and meaning of network analysis techniques.,>Nicole Beckage>Michael Vitevitch>Alexander Mehler>Eliana Colunga,">University of Colorado Boulder>University of Kansas>Goethe University, Frankfurt am Main>University of Colorado Boulder",https://mindmodeling.org/cogsci2013/papers/0010/index.html
2013,A General Purpose Architecture for Building Spiking Neuron Models of Biological Cognition,"We have recently created the world's largest biologically realistic brain model that is capable of performing tasks (Eliasmith et al., 2012). This model uses 2.5 million spiking neurons, takes visual input from a 28x28 pixel visual field, and controls a physically modelled arm. By presenting different visual inputs, the model can perform eight different tasks, including memorizing and writing a list of numbers, single-digit addition via counting, and flexible pattern completion in the Raven's Matrices task. This tutorial is meant to introduce the software toolkit and theoretical background that would allow other researchers to build their own models using the same architecture, allowing them to explore other tasks and brain functions. This tool supports a novel cognitive architecture (SPA; the Semantic Pointer Architecture) that directly connects neuroscience with cognitive science.",>Chris Eliasmith>Terrence Stewart,>University of Waterloo>University of Waterloo,https://mindmodeling.org/cogsci2013/papers/0011/index.html
2013,Virtual Humans: A New Toolkit for Cognitive Science Research,"Virtual humans (VHs) are digital anthropomorphic characters that exist within virtual worlds but are designed to perceive, understand and interact with real-world humans. Although typically conceived as practical tools to assist in a range of application (e.g., HCI, training and entertainment), the technology is gaining interest as a methodological tool for studying human cognition. VHs not only simulate the cognitive abilities of people, but also many of the embodied and social aspects of human behavior more traditionally studied in fields outside of cognitive science. By integrating multiple cognitive capabilities (e.g., language, gesture, emotion, and the control problems associated with navigating and interacting with a simulated virtual world) and requiring these processes to support real-time interactions with people, VHs create a unique and challenging environment within which to develop and validate cognitive theories. In this tutorial, we will review recent advances in VH technologies, demonstrate examples of use of VHs in cognitive science research and provide hands on training using our Virtual Human Toolkit (http://vhtoolkit.ict.usc.edu/).",>Jonathan Gratch>Arno Hartholt>Morteza Dehghani>Stacy Marsella,>University of Southern California>University of Southern California>University of Southern California>University of Southern California,https://mindmodeling.org/cogsci2013/papers/0012/index.html
2013,Making Robust Classification Decisions: Constructing and Evaluating Fast and Frugal Trees (FFTs),"Fast and Frugal Trees (FFTs) are a quintessential family of simple heuristics that allow effective and efficient binary classification decisions and often perform remarkably well when compared to more complex methods. This half-day tutorial will familiarize participants with examples of FFTs and elucidate the theoretical link between FFTs and signal detection theory (SDT). A range of presentations, practical exercises and interactive tools will enable participants to construct and evaluate FFTs for different data sets. Keywords: Fast and frugal trees; binary classifications; simple heuristics; signal detection theory; validity; robustness",>Hansjörg Neth>Uwe Czienskowski>Lael Schooler>Kevin Gluck,">Max Planck Institute for Human Development, Berlin>Max Planck Institute for Human Development, Berlin>Max Planck Institute for Human Development, Berlin>Air Force Research Laboratory, OH, USA",https://mindmodeling.org/cogsci2013/papers/0013/index.html
2013,Half Day Tutorial on Using Quantum Probability Theory to Model Cognition,"This tutorial introduces why and how to build cognitive models using quantum probability (QP) theory. In the tutorial, we will show that QP is inherently consistent with deeply rooted psychological conceptions and intuitions. It offers a fresh conceptual framework for explaining some puzzling empirical findings of cognition, and provides a rich new source of alternative formal tools, compared to classical probability (CP) theory, for cognitive modeling.",>Emmanuel Pothos>Zheng Wang>Jerome Busemeyer,>City University London>The Ohio State University>Indiana University,https://mindmodeling.org/cogsci2013/papers/0014/index.html
2013,Types and states: Mixture and hidden Markov modelling for the cognitive sciences,"The objective of this tutorial is to provide participants with an accessible introduction to mixture models (MMs) and hidden Markov models (HMMs) and the necessary skills to apply them in their own research. These models are particularly useful to analyse aspects of cognition which are best understood in terms of discrete types and states (e.g., when people are expected to apply distinct strategies when performing a task). MMs and HMMs allow one to extract such types/states even when they are not known exactly beforehand. We will provide an intuitive introduction to the underlying theory of MMs and HMMs and will show how to apply the models in practice using freely available software. Throughout the tutorial, the techniques are illustrated with real data relevant to a cognitive science audience. Participants are encouraged to bring their laptop to follow the examples and apply the techniques to their own data.",>Maarten Speekenbrink>Ingmar Visser,>University College London>University of Amsterdam,https://mindmodeling.org/cogsci2013/papers/0015/index.html
2013,Dynamic Field Theory: Conceptual Foundations and Applications in the Cognitive and Developmental Sciences,"Dynamical Field Theory (DFT) offers a framework for thinking about representation-in-the-moment in neural systems and changes in thinking over learning and development. Dynamic Neural Fields are formalizations of how neural populations represent the continuous dimensions that characterize perceptual features, movements, and cognitive decisions. DFT has been used across a variety of contexts including studies of working memory, word learning, executive function, and autonomous robotics. One obstacle for researchers wishing to use DFT has been that the mathematical and technical skills required to make these concepts operational are not part of the standard repertoire of cognitive scientists. The goal of this tutorial is to provide the training and tools to overcome this obstacle. We will provide a systematic introduction to the central concepts of DFT and their grounding in both Dynamical Systems concepts and neurophysiology. We will provide all needed background and give participants hands-on experience using interactive simulators in MATLAB.",>John Spencer>Gregor Schoener>Yulia Sandamirskaya,">University of Iowa>Ruhr-University, Bochum, Germany>Ruhr-University, Bochum, Germany",https://mindmodeling.org/cogsci2013/papers/0016/index.html
2013,How to Analyze Verbal Protocols,"This tutorial will support researchers who consider using, or have already collected, verbal protocols as data. After discussing the extent to which language can be useful to identify cognitive processes and principles, we will examine each step of the process from data collection via transcription, analysis, and triangulation. The main emphasis will lie on the systematic analysis of linguistic choices, aiming to identify indicators for specific cognitive phenomena that are of interest for the research purpose at hand. Participants are encouraged to contribute actively to this tutorial by bringing ideas and samples from their own research, pertaining to each step of the research process. Email-based communication in advance of the tutorial will ensure a lively and highly interactive tutorial, supporting ongoing research in a practical way rather than theorizing about potential benefits.",>Thora Tenbrink,>Bangor University,https://mindmodeling.org/cogsci2013/papers/0017/index.html
