Year,Title,Abstract,Authors,Affiliations,URL
2015,"Applying for National Science Foundation Funding in Cognitive Science: Cognition, Computation, Development, Education, and Neuroscience","This half-day workshop will provide information and hands- on experience related to applying for National Science Foundation (NSF) funding in cognitive science. Program officers will discuss the NSF review process and NSF merit criteria. Details regarding a range of cognitive science research programs will be covered, including cognition, computation, development, education, and neuroscience. In addition, as an interactive activity, attendees will participate in simulated review panels using actual cognitive science grant proposals.",>Anne Cleary>Hector Avila-Munoz>Evan Heit>Chris Hoadley>Laura Namy>Alumit Ishai>Betty Tuller,>NSF>NSF>NSF>NSF>NSF>NSF>NSF,https://mindmodeling.org/cogsci2015/papers/0001/index.html
2015,Physical and Social Scene Understanding,"Computer vision has made significant progress in locating and recognizing objects in real images. However, beyond the scope of this “what is where” challenge, it lacks the abilities to understand scenes characterizing human visual experience. The mission of this workshop is to (a) identify the key domains in which human visual perception and cognition outperform computer vision; (b) formalize the computational challenges in these domains; and (c) provide promising frameworks for solving these challenges by conducting cognitive science and computer vision studies. We propose FPIC as four key domains beyond “what is where”: Functionality (e.g., what can be done with this slotted spoon?) Physics (e.g., will the spoon be able to pick up the meatball?) Intentionality (e.g., is the person trying to scoop up the cheese or point toward it?) Causality (e.g., why does the gravy pass through the spoon?)",>Tao Gao>Yibiao Zhao>Lap-Fai Yu,">MIT>UCLA, Los Angeles, CA, United States>University of Massachusetts",https://mindmodeling.org/cogsci2015/papers/0002/index.html
2015,"Language & common sense: Integrating across psychology, linguistics, and computer science","The language understanding that underlies state-of-the-art Internet search, machine translation, and dictation software is undeniably impressive. Equally undeniable is that these systems do not really understand language. What is missing? One candidate is common sense. Language is a mechanism for moving ideas from one mind to another -- ideas that are meant to be understood in the context of pre-existing, interlocking beliefs. Thus, fully exploiting its power may require sophisticated, explicit representations of world knowledge -- that is, common sense.",>Joshua Hartshorne>Joshua Tenenbaum,>MIT>MIT,https://mindmodeling.org/cogsci2015/papers/0003/index.html
2015,Evidence Accumulation Modeling: Bayesian Estimation using Differential Evolution,"Understanding decision making requires a dynamic approach that accounts for the time taken to make choices as well as the choices that are made. The success of the dynamic approach is underpinned by cognitive models, such as the drift-diffusion model (DDM: Ratcliff & McKoon, 2008) and linear ballistic accumulator (LBA: Brown & Heathcote, 2005, 2008), that attribute decisions to an evidence accumulation processes. The ability of these models, and elaborations of them, to account for the speed and accuracy with which people make decisions across a broad range of tasks has led to an increasing number of applications in Cognitive Science and Neuroscience (for recent examples see Cassey, Heathcote & Brown, 2014; Heathcote, Loft & Remington, in press; Mittner et al., 2014; Turner, Van Maanen, Forstmann, in press).",>Andrew Heathcote>Brandon Turner Turner>Scott Brown,">The University of Tasmania>The Ohio State University>The University of Newcastle, Australia",https://mindmodeling.org/cogsci2015/papers/0004/index.html
2015,"Workshop on Optimizing Experimental Designs: Theory, Practice, and Applications","The accurate and efficient measurement of observations is at the core of empirical scientific research. To ensure measurement is optimal, and thereby maximize inference, there has been a recent surge of interest among researchers in the design of experiments that lead to rapid accumulation of information about the phenomenon under study with the fewest possible measurements. Statisticians have contributed to this area by introducing methods of optimizing experimental design (OED). The methodology involves adapting the experimental design in real time as the experiment progresses. The purpose of this full-day workshop is to introduce the principles underlying OED, illustrate how to apply OED in practice using widely and freely available software tools (e.g., R) to showcase applications of OED in areas such as cognitive psychology, education and assessment, and machine learning, and provide a platform to share work on OED.",>Jay Myung>Mark Pitt>Maarten Speekenbrink,>Ohio State University>Ohio State University>University College London,https://mindmodeling.org/cogsci2015/papers/0005/index.html
2015,Quantifying the Dynamics of Interpersonal Interaction: A Primer on Cross-Recurrence Quantification Analysis using R,"Over the last decade, the dynamics of interpersonal interaction has become a growing topic in cognitive science, precisely because of the important implications that interpersonal dynamics carry on shaping our ‘social cognitive system.’ Many important advances on this research topic have been possible through the application of concepts and statistical methods, which provide quantification for the dynamic structure of cognitive responses observed when individuals interact such as Recurrence Quantification Analysis (RQA). In this tutorial, cognitive scientists from different fields, and at different stages of their career will learn a dynamical systems framework to interpret and understand interpersonal interaction, and acquire the analytical principles of C/RQA, which helps framing this approach.",>Moreno I. Coco>Rick Dale,">University of Lisbon, Lisbon, Portugal>University of California, Merced",https://mindmodeling.org/cogsci2015/papers/0006/index.html
2015,Programming online experiments with jsPsych,"This tutorial is an introduction to jsPsych, which is a free and open-source software package for creating experiments that run in a web browser. Participants in the tutorial will learn how to build an experiment using jsPsych, and how to extend and customize jsPsych for novel experimental paradigms.",>Josh de Leeuw,">Indiana University, Bloomington, IN, USA",https://mindmodeling.org/cogsci2015/papers/0007/index.html
2015,Tutorial: Bayesian data analysis,"Bayesian data analysis is superseding traditional methods in sciences from anthropology to zoology. Bayesian methods solve many problems inherent in p values and confidence intervals. More importantly, Bayesian methods are more richly and intuitively informative. Bayesian analysis applies flexibly and seamlessly to simple situations or complex hierarchical models and realistic data structures, including small samples, large samples, unbalanced designs, missing data, censored data, outliers, etc. Bayesian analysis software is flexible and can be used for a wide variety of data-analytic and psychometric models. This full-day tutorial presents a ground-level, hands-on introduction to doing Bayesian data analysis. The presenter is an award-winning teacher who has honed new materials from many previous courses. He has written an acclaimed textbook on the topic, now greatly expanded in its second edition. The tutorial materials include free software and numerous programs that can be used for real data analysis.",>John Kruschke,">Indiana University, Bloomington, Indiana, USA",https://mindmodeling.org/cogsci2015/papers/0008/index.html
2015,Full Day Tutorial on Quantum Models of Cognition and Decision,"This tutorial covers the rapidly growing new approach to building computational models of cognition based on quantum theory. The cognitive revolution that occurred in the 1960’s was based on classical computational logic, and the connectionist movements of the 1970’s were based on classical dynamical systems. These classical assumptions remain at the heart of both cognitive architecture and neural network theories, and they are so commonly applied that we take them for granted and presume them to be true. What are these critical but hidden assumptions upon which traditional theories rely? Quantum theory provides a fundamentally different approach to logic, reasoning, probabilistic inference, and dynamical systems. For example, quantum logic does not follow the distributive axiom of Boolean logic, and quantum probabilities do not obey the disjunctive axiom of Kolmogorov probability. It turns out that humans do not obey these restrictions either, which is why we consider a quantum approach.",>Jennifer Trueblood>James Yearsley>Zheng Wang>Jerome Busemeyer,">University of California, Irvine, Irvine, California, USA>City University, London, United Kingdom>The Ohio State University, Columbus, OH, U.S.>Indiana University",https://mindmodeling.org/cogsci2015/papers/0009/index.html
2015,"Connecting learning, memory, and representation in math education","In math education the goal is for children not only to master the materials and problems presented, but to understand underlying principles and properties that can be applied broadly to new problems and situations. Teachers in the classroom and policy-makers in Washington thus are both faced with what is essentially a cognitive question: What instructional regimes and practices will produce rapid learning, deep understanding, and broad transfer?",>Martha Alibali>Chuck Kalish>Timothy Rogers>Christine Massey>Phil Kellman>Vladimir Sloutsky>James L. McClelland>Kevin Mickey,>University of Wisconsin  Madison>University of Wisconsin Madison>University of Wisconsin Madison>University of Pennsylvania>UCLA>Ohio State University>Stanford University>Stanford University,https://mindmodeling.org/cogsci2015/papers/0010/index.html
