Year,Title,Abstract,Authors,Affiliations,URL
2017,Tutorial: Recent Advances in Deep Learning,"This tutorial will bring together five AI researchers with dual credentials in neuroscience and/or cognitive science, to provide an accessible overview and update on the most important recent developments in deep learning and deep RL. The tutorial will be aimed at a broad audience, ranging from graduate students to senior investigators, and spanning specialties from cognitive and developmental psychology to psychiatry, human factors research, and systems neuroscience. The focus will be on fundamental concepts and principles, and a central goal will be to maximize accessibility, in line with the tutorial format.",>Matthew Botvinick>Peter Battaglia,">DeepMind, London, United Kingdom>DeepMind, London, United Kingdom",https://mindmodeling.org/cogsci2017/papers/0001/index.html
2017,"Methods for Reconstructing Causal Networks from Observed Time-Series: Granger-Causality, Transfer Entropy, and Convergent Cross-Mapping","A major question that arises in many areas of Cognitive Science is the need to distinguish true causal connections between variables from mere correlations. The most common way of addressing this distinction is the design of well-controlled experiments. However, in many situations, it is extremely difficult --or even outright impossible-- to perform such experiments. Researchers are then forced to rely on correlational data in order to make causal inferences. This situation is especially common when one needs to analyze longitudinal data corresponding to historical time-series, symbolic sequences, or developmental data. These inferences are problematic. From the correlations alone it is difficult to determine the direction of the causal arrow linking two variables. Worse even, the lack of controls of observational data entail that correlations found between two variables need not reflect any causal connection between them, as some third variable could be the actually driver for any two measured variables.",>Fermin Moscoso del Prado Martin,">University of California, Santa Barbara",https://mindmodeling.org/cogsci2017/papers/0002/index.html
2017,Dynamic Field Theory: Conceptual Foundations and Applications in Cognitive and Developmental Science,"Dynamical Systems thinking has been influential in the way psychologists, cognitive scientists, and neuroscientists think about sensori-motor behavior and its development. The initial emphasis on motor behavior was expanded when the concept of dynamic activation fields provided access to embodied cognition. Dynamical Field Theory offers a framework for thinking about representation-in-the-moment that is firmly grounded in both Dynamical Systems thinking and neurophysiology. Dynamic Neural Fields are formalizations of how neural populations represent the continuous dimensions that characterize perceptual features, movements, and cognitive decisions. Neural fields evolve dynamically under the influence of inputs as well as strong neuronal interaction, generating elementary forms of cognition through dynamical instabilities. The concepts of DFT establish links between brain and behavior, helping to define experimental paradigms in which behavioral signatures of specific neural mechanisms can be observed. These paradigms can be modeled with Dynamic Neural Fields, deriving testable predictions and providing quantitative accounts of behavior.",>John Spencer>Vanessa Simmering>Sebastian Schneegans,>University of East Anglia>University of Wisconsin - Madison>University of Cambridge,https://mindmodeling.org/cogsci2017/papers/0003/index.html
2017,The Fine Art of Conversation,"This workshop aims to give human interaction researchers the conceptual and practical apparatus to balance their representations of data (usually just drawings and photographs), so as to “maximally incite, but also constrain” their representations, as artists sometimes successfully achieve (Streeck, Grothues, & Villanueva, 2009, p.28). Why—as Streeck points out—are the drawings and visualisations of interaction researchers so halting and timid, compared to how artists have responded to the same representational problems? These heavily segmented, sparsely constructed representations of interaction suggest a prevailing positivistic outlook with regard to representing shared space, where interaction is presented as staggered and discrete physical events with little to connect them. The workshop seeks to redress this situation by examining the solutions that artists have arrived at when representing human interaction, and asking participants to engage in a series of activities and discussions which will re-frame their approaches to this issue.",>Saul Albert>Claude Heath>Patrick Healey,">Tufts University, Medford, Massachusetts, USA>Royal Holloway, University of London>Queen Mary, University of London",https://mindmodeling.org/cogsci2017/papers/0004/index.html
2017,Workshop: Bridging the Gap: Is Logic and Automated Reasoning a Foundation for Human Reasoning?,"Reasoning is a core ability in human cognition. Its power lies in the ability to theorize about the environment, to make implicit knowledge explicit, to generalize given knowledge and to gain new insights. It is a well researched topic in cognitive psychology and cognitive science and over the past decade impressive results have been achieved.",>Ulrich Furbach>Steffen Hölldobler>Marco Ragni>Claudia Schon,>University of Koblenz-Landau>TU Dresden>University of Freiburg>University of Koblenz-Landau,https://mindmodeling.org/cogsci2017/papers/0005/index.html
2017,"Citizen Science, Gamification, and Virtual Reality for Cognitive Research","This workshop discusses three topics. The first topic is citizen science which involves volunteers all around the world generating data to address scientific problems, and recently led to breakthroughs in the natural sciences. Citizen science typically involves volunteers playing online games while unknowingly solving real scientific problems. Although citizen science data cannot offer meximum experimental control, the citizen science samples are usually very diverse. Our second topic is gamification which means adding game-like features to a task. Gamified tasks are typically motivating for participants. While citizen science often uses gamification, laboratory studies can also benefit from being gamified. Our third topic is virtual reality, a technology from the gaming industry enabling players to experience a environment in 3D, as if they were in the middle of it. This typically causes subjective immersion by simulating a naturalistic experience of interacting with the world, while simultaneously offering control about the events.",>Jana Jarecki>Jacob Sherson>Juho Hamari>Julia A. Bopp>Julian Jarecki>Libby Heaney>Sharon Steinemann>Pinja Haikka>Carsten Bergenholtz,>University of Basel>University of Aarhus>Tampere University of Technology and University of Turku>University of Basel>University of Freiburg>Royal College of Art London>University of Basel>University of Aarhus>University of Aarhus,https://mindmodeling.org/cogsci2017/papers/0006/index.html
2017,Cooperative Social Intelligence: Understanding and Acting with Others,"This workshop will focus on new developments and approaches to studying social intelligence with a specific focus on cooperation, theory-of-mind and social learning. With a diverse set of speakers and panelists, we anticipate these three themes will allow for connections to be made between developmental psychologists, cognitive scientists and artificial intelligence and robotics researchers.",>Max Kleiman-Weiner>Yibiao Zhao>Josh Tenenbaum,">Massachusetts Institute of Technology, Cambridge, Massachusetts, USA>Massachusetts Institute of Technology, Cambridge, Massachusetts, USA>Massachusetts Institute of Technology, Cambridge, Massachusetts, USA",https://mindmodeling.org/cogsci2017/papers/0007/index.html
2017,Building Bridges from (Ivory) Towers: Combining Academia and Industry for Cognitive Research,"This half-day workshop will discuss how research can be enriched by marrying academic and industry-based work. Attendees will learn the theoretical, practical, and logistical complexities involved in advancing cognitive science across these distinct research sites.",>Katherine Livins>Jay Martin,">Netflix, Los Gatos, California, USA>Netflix, Los Gatos, California, USA",https://mindmodeling.org/cogsci2017/papers/0008/index.html
2017,The Computational Foundations of Religious Cognition: A Workshop Hosted by the International Association for the Cognitive Science of Religion (IACSR),"Religion is of global significance, and its study requires explanations from cognitive science. Currently, the cognitive science of religion consists of researchers working in an array of disciplines, employing diverse methods, including, among others: experimental research and modelling in psychology and neuroscience, and historical, archaeological, and comparative studies of religious cognition in anthropology and religious studies. The International Association for the Cognitive Science of Religion (IACSR) seeks to advance the naturalistic and cognitive study of religion by providing settings for productive dialogue across disciplinary boundaries and methodological approaches. This half-day workshop, organized by the IACSR, has three complementary goals: 1) to expose attendees to diverse methodologies for studying the computational foundations of religious cognition, 2) to provide a forum for researchers to present recent empirical findings that bear on our understanding of religious cognition, and 3) to foster new research collaborations.",>Ann Taves>Dimitris Xygalatas>John Shaver,>University of California Santa Barbara>University of Connecticut>University of Otago,https://mindmodeling.org/cogsci2017/papers/0009/index.html
2017,Workshop proposal: Deep Learning in Computational Cognitive Science,"A new generation of deep neural network architectures has driven rapid advances in AI over the last ten years. These architectures include convolutional neural networks (CNNs), recurrent neural networks (RNNs), and many variants and extensions. Computational cognitive scientists and neuroscientists have now begun to explore these techniques, and how they might combine with other computational tools such as Bayesian models, symbolic grammars and rule-systems, probabilistic programs, and reinforcement learning. The goal of this workshop is to bring together some of the leading researchers working at this interface, for short talks and an integrative discussion of open questions and promising directions.",>Ilker Yildirim>Josh Tenenbaum,>MIT>MIT,https://mindmodeling.org/cogsci2017/papers/0010/index.html
